CRITERION,MAX_FEATURES,SPLITTER,R_VALUE
squared_error,None,best,0.9033645475465726
squared_error,None,random,0.8811612624472515
squared_error,sqrt,best,-0.4829529101423937
squared_error,sqrt,random,-0.23636185741037008
squared_error,log2,best,0.24202721177916442
squared_error,log2,random,0.3627560008370243
friedman_mse,None,best,0.8701909441197613
friedman_mse,None,random,0.8823674527015156
friedman_mse,sqrt,best,0.34725377140507785
friedman_mse,sqrt,random,0.3796364820303034
friedman_mse,log2,best,-0.3613351638501183
friedman_mse,log2,random,0.5565373689797308
absolute_error,None,best,0.9127956012513224
absolute_error,None,random,0.9353293855685428
absolute_error,sqrt,best,0.6448115752004616
absolute_error,sqrt,random,0.8583471771304703
absolute_error,log2,best,0.7785521255305672
absolute_error,log2,random,0.24101291864743668
poisson,None,best,0.8925945976764106
poisson,None,random,0.9007427954362878
poisson,sqrt,best,0.8673078045948751
poisson,sqrt,random,0.3626130166103839
poisson,log2,best,0.3977106516385437
poisson,log2,random,0.022747014703142887
